Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
Abadia de Goiás (GO),136.9,36.3,21.41430839,67.58,27.7,2.85,15.64,205.27,0.53,36.89,34.4,0.742,80.17,88.03,4.87,1872,2433,121,227,4227,4971,3096,1875,GO,Grupo 1
Abadia dos Dourados (MG),897.4,7.2,390.8765127,72.92,20.51,2.54,14.48,196.36,0.52,51.9,35.22,0.76,74.57,86.58,4.36,3308,3781,354,459,6492,6446,3927,2519,MG,Grupo 1
Abadiânia (GO),1047.7,10.9,78.64143511,69.59,22.36,2.77,21.81,168.31,0.56,47.06,40.32,0.723,74.18,82.45,4.24,4241,5918,446,686,9402,11452,7206,4246,GO,Grupo 1
Abaetetuba (PA),1613.9,73.8,51.18455171,70.77,25.61,3.15,24.85,102.14,0.59,44.61,51.04,0.706,81.76,80.74,4.28,33554,44897,3792,4688,99989,119152,70843,48309,PA,Grupo 7
Abaeté (MG),1822.4,12.3,172.3115491,72.5,21.59,2.41,15.56,253.68,0.58,41.53,31.68,0.778,78.39,87.55,4.78,10163,12406,1084,1595,20689,22360,19022,3338,MG,Grupo 1
Abaiara (CE),182.6,45.9,408.503627,67.2,42.98,3.51,47.83,71.76,0.62,59.35,65.18,0.627,87.99,59.97,2.75,3102,3722,526,607,7889,8385,3208,5177,CE,Grupo 1
Abaíra (BA),580.6,15.6,342.631865,68.71,30.53,2.18,31.65,102.11,0.55,53.32,50.94,0.681,78.32,76.11,2.89,4236,4879,876,1057,8754,9067,3559,5508,BA,Grupo 1
Abaré (BA),1700.8,8.0,476.8358385,59.4,64.11,3.07,39.18,79.88,0.56,51.47,56.43,0.595,78.34,66.95,3.06,4177,5615,710,842,11449,13648,5528,8120,BA,Grupo 1
Abatiá (PR),247.2,33.3,258.4276561,69.62,19.48,2.6,26.43,148.92,0.47,34.05,36.93,0.71,75.63,79.01,3.93,4465,4300,394,577,10238,8259,5356,2903,PR,Grupo 1
Abdon Batista (SC),198.0,14.0,243.6190155,74.4,14.87,2.5,10.06,166.91,0.5,34.78,39.67,0.774,83.1,89.15,4.55,1458,1507,131,149,3245,2775,713,2062,SC,Grupo 1
